0,1,2,3,4,5,6,7,8
-52.0,-54.0,-55.0,-76.0,-68.0,-74.0,1.0,2.45,2.0
-55.0,-56.0,-58.0,-78.0,-69.0,-76.0,1.0,2.45,2.0
-55.0,-56.0,-60.0,-77.0,-70.0,-75.0,1.0,2.45,2.0
-53.0,-57.0,-56.0,-81.0,-70.0,-72.0,1.0,2.45,2.0
-50.0,-55.0,-56.0,-74.0,-69.0,-72.0,1.0,2.45,2.0
-55.0,-58.0,-59.0,-79.0,-70.0,-72.0,1.0,2.45,2.0
-55.0,-56.0,-59.0,-79.0,-71.0,-73.0,1.0,2.45,2.0
-53.0,-56.0,-64.0,-72.0,-73.0,-85.0,2.1,2.45,2.0
-53.0,-55.0,-63.0,-71.0,-73.0,-85.0,2.1,2.45,2.0
-56.0,-55.0,-64.0,-74.0,-73.0,-87.0,2.1,2.45,2.0
-55.0,-55.0,-64.0,-70.0,-73.0,-84.0,2.1,2.45,2.0
-53.0,-54.0,-62.0,-73.0,-71.0,-85.0,2.1,2.45,2.0
-53.0,-54.0,-64.0,-70.0,-71.0,-86.0,2.1,2.45,2.0
-53.0,-55.0,-64.0,-71.0,-73.0,-84.0,2.1,2.45,2.0
-53.0,-56.0,-64.0,-70.0,-73.0,-84.0,2.1,2.45,2.0
-53.0,-55.0,-63.0,-71.0,-73.0,-84.0,2.1,2.45,2.0
-54.0,-55.0,-66.0,-71.0,-73.0,-84.0,2.1,2.45,2.0
-55.0,-55.0,-65.0,-72.0,-71.0,-85.0,2.1,2.45,2.0
-52.0,-55.0,-68.0,-73.0,-72.0,-84.0,2.1,2.45,2.0
-53.0,-55.0,-63.0,-73.0,-72.0,-85.0,2.1,2.45,2.0
-55.0,-54.0,-66.0,-73.0,-75.0,-86.0,2.1,2.45,2.0
-55.0,-56.0,-64.0,-73.0,-76.0,-86.0,2.1,2.45,2.0
-55.0,-54.0,-62.0,-70.0,-71.0,-84.0,2.1,2.45,2.0
-56.0,-57.0,-65.0,-75.0,-73.0,-88.0,2.1,2.45,2.0
-55.0,-56.0,-65.0,-74.0,-73.0,-85.0,2.1,2.45,2.0
-53.0,-53.0,-65.0,-69.0,-71.0,-85.0,2.1,2.45,2.0
-53.0,-69.0,-64.0,-70.0,-70.0,-85.0,2.1,2.45,2.0
-53.0,-54.0,-62.0,-72.0,-72.0,-83.0,2.1,2.45,2.0
-53.0,-56.0,-63.0,-72.0,-71.0,-85.0,2.1,2.45,2.0
-62.0,-59.0,-64.0,-71.0,-72.0,-84.0,2.1,2.45,2.0
-53.0,-54.0,-64.0,-70.0,-70.0,-85.0,2.1,2.45,2.0
-52.0,-55.0,-63.0,-72.0,-71.0,-85.0,2.1,2.45,2.0
-52.0,-56.0,-62.0,-71.0,-71.0,-83.0,2.1,2.45,2.0
-54.0,-55.0,-65.0,-71.0,-71.0,-85.0,2.1,2.45,2.0
-52.0,-53.0,-64.0,-75.0,-71.0,-85.0,2.1,2.45,2.0
-53.0,-56.0,-65.0,-70.0,-73.0,-84.0,2.1,2.45,2.0
-56.0,-55.0,-64.0,-73.0,-72.0,-84.0,2.1,2.45,2.0
-56.0,-55.0,-66.0,-71.0,-72.0,-85.0,2.1,2.45,2.0
-46.0,-53.0,-60.0,-75.0,-81.0,-74.0,3.2,2.45,2.0
-40.0,-52.0,-62.0,-74.0,-82.0,-70.0,3.2,2.45,2.0
-46.0,-52.0,-61.0,-73.0,-88.0,-70.0,3.2,2.45,2.0
-39.0,-52.0,-60.0,-74.0,-85.0,-71.0,3.2,2.45,2.0
-42.0,-55.0,-62.0,-75.0,-83.0,-71.0,3.2,2.45,2.0
-48.0,-52.0,-64.0,-76.0,-78.0,-72.0,3.2,2.45,2.0
-47.0,-53.0,-62.0,-75.0,-84.0,-72.0,3.2,2.45,2.0
-48.0,-58.0,-63.0,-75.0,-82.0,-73.0,3.2,2.45,2.0
-48.0,-55.0,-64.0,-75.0,-83.0,-73.0,3.2,2.45,2.0
-43.0,-55.0,-64.0,-76.0,-85.0,-74.0,3.2,2.45,2.0
-47.0,-54.0,-65.0,-76.0,-86.0,-72.0,3.2,2.45,2.0
-47.0,-53.0,-63.0,-75.0,-83.0,-73.0,3.2,2.45,2.0
-48.0,-52.0,-61.0,-76.0,-80.0,-71.0,3.2,2.45,2.0
-41.0,-53.0,-63.0,-75.0,-83.0,-74.0,3.2,2.45,2.0
-49.0,-56.0,-61.0,-76.0,-84.0,-73.0,3.2,2.45,2.0
-39.0,-53.0,-61.0,-76.0,-83.0,-71.0,3.2,2.45,2.0
-49.0,-53.0,-62.0,-76.0,-80.0,-73.0,3.2,2.45,2.0
-48.0,-53.0,-64.0,-76.0,-78.0,-71.0,3.2,2.45,2.0
-50.0,-53.0,-64.0,-74.0,-81.0,-74.0,3.2,2.45,2.0
-48.0,-54.0,-63.0,-76.0,-85.0,-73.0,3.2,2.45,2.0
-49.0,-53.0,-62.0,-75.0,-83.0,-73.0,3.2,2.45,2.0
-47.0,-52.0,-61.0,-74.0,-82.0,-71.0,3.2,2.45,2.0
-41.0,-50.0,-62.0,-75.0,-84.0,-73.0,3.2,2.45,2.0
-47.0,-51.0,-60.0,-75.0,-82.0,-71.0,3.2,2.45,2.0
-46.0,-53.0,-62.0,-73.0,-83.0,-70.0,3.2,2.45,2.0
-42.0,-60.0,-56.0,-72.0,-82.0,-73.0,4.3,2.45,2.0
-42.0,-60.0,-60.0,-73.0,-83.0,-73.0,4.3,2.45,2.0
-49.0,-61.0,-57.0,-71.0,-81.0,-72.0,4.3,2.45,2.0
-49.0,-61.0,-59.0,-72.0,-83.0,-72.0,4.3,2.45,2.0
