0,1,2,3,4,5,6,7,8
-63.0,-43.0,-59.0,-89.0,-76.0,-76.0,3.2,6.8,2.0
-61.0,-43.0,-55.0,-79.0,-81.0,-75.0,3.2,6.8,2.0
-61.0,-57.0,-55.0,-76.0,-74.0,-76.0,5.4,6.8,2.0
-61.0,-58.0,-55.0,-77.0,-70.0,-78.0,5.4,6.8,2.0
-59.0,-57.0,-54.0,-76.0,-77.0,-78.0,5.4,6.8,2.0
-60.0,-57.0,-53.0,-77.0,-75.0,-78.0,5.4,6.8,2.0
-59.0,-58.0,-54.0,-74.0,-75.0,-79.0,5.4,6.8,2.0
-58.0,-58.0,-49.0,-73.0,-75.0,-66.0,6.5,6.8,2.0
-59.0,-58.0,-44.0,-75.0,-72.0,-66.0,6.5,6.8,2.0
-58.0,-60.0,-51.0,-74.0,-75.0,-67.0,6.5,6.8,2.0
-57.0,-57.0,-51.0,-75.0,-71.0,-67.0,6.5,6.8,2.0
-57.0,-57.0,-50.0,-74.0,-73.0,-67.0,6.5,6.8,2.0
-56.0,-17.0,-55.0,-80.0,-69.0,-70.0,1.0,8.25,2.0
-55.0,-17.0,-55.0,-79.0,-69.0,-68.0,1.0,8.25,2.0
-54.0,-16.0,-53.0,-79.0,-69.0,-69.0,1.0,8.25,2.0
-54.0,-17.0,-54.0,-80.0,-67.0,-70.0,1.0,8.25,2.0
-55.0,-17.0,-53.0,-79.0,-69.0,-69.0,1.0,8.25,2.0
-64.0,-36.0,-52.0,-79.0,-72.0,-72.0,2.1,8.25,2.0
-64.0,-38.0,-53.0,-79.0,-74.0,-74.0,2.1,8.25,2.0
-63.0,-36.0,-52.0,-78.0,-72.0,-72.0,2.1,8.25,2.0
-63.0,-37.0,-53.0,-80.0,-75.0,-72.0,2.1,8.25,2.0
-64.0,-37.0,-51.0,-78.0,-73.0,-70.0,2.1,8.25,2.0
-54.0,-39.0,-53.0,-80.0,-79.0,-68.0,3.2,8.25,2.0
-56.0,-40.0,-52.0,-83.0,-80.0,-69.0,3.2,8.25,2.0
-56.0,-41.0,-57.0,-82.0,-83.0,-70.0,3.2,8.25,2.0
-56.0,-42.0,-55.0,-81.0,-80.0,-69.0,3.2,8.25,2.0
-58.0,-42.0,-54.0,-81.0,-83.0,-70.0,3.2,8.25,2.0
-58.0,-61.0,-59.0,-77.0,-76.0,-69.0,4.3,8.25,2.0
-56.0,-58.0,-58.0,-79.0,-77.0,-68.0,4.3,8.25,2.0
-57.0,-60.0,-58.0,-79.0,-76.0,-67.0,4.3,8.25,2.0
-59.0,-60.0,-60.0,-78.0,-76.0,-67.0,4.3,8.25,2.0
-56.0,-57.0,-59.0,-81.0,-73.0,-65.0,4.3,8.25,2.0
-66.0,-49.0,-39.0,-84.0,-69.0,-71.0,5.4,8.25,2.0
-66.0,-50.0,-47.0,-89.0,-70.0,-72.0,5.4,8.25,2.0
-62.0,-41.0,-53.0,-84.0,-68.0,-69.0,5.4,8.25,2.0
-70.0,-52.0,-48.0,-88.0,-68.0,-74.0,5.4,8.25,2.0
-68.0,-44.0,-41.0,-85.0,-70.0,-71.0,5.4,8.25,2.0
-59.0,-51.0,-18.0,-85.0,-80.0,-74.0,6.5,8.25,2.0
-58.0,-52.0,-18.0,-86.0,-79.0,-73.0,6.5,8.25,2.0
-60.0,-53.0,-18.0,-80.0,-79.0,-74.0,6.5,8.25,2.0
-60.0,-54.0,-21.0,-87.0,-83.0,-73.0,6.5,8.25,2.0
-59.0,-52.0,-18.0,-87.0,-80.0,-76.0,6.5,8.25,2.0
